INNOVACION,DESCRIPCION,INDEX,PINDEX,ENTIDAD,SECTOR
Trazador Presupuestal de Igualdad y Equidad de Género,"Es una herramienta metodológica construida por la Secretaría Distrital de Hacienda, la Secretaría Distrital de Planeación y la Secretaría Distrital de la Mujer, con la que se busca que las entidades pertenecientes al Presupuesto General del Distrito (Presupuesto Anual Distrital + Fondos de Desarrollo Local + Empresas del Distrito incorporar), realicen la marcación de los recursos que invierten para el cierre de brechas de género en el ciclo de la planeación y presupuestación pública.",91,15,Secretaría Distrital De La Mujer,Mujeres
Sello Distrital de Igualdad de Género,"Mecanismo que, de acuerdo con estándares internacionales, permite reconocer, medir e incentivar el avance de la adecuación y transformación de la cultura institucional en el Distrito en pro de la igualdad de género y la garantía de los derechos de las mujeres y su autonomía, posiciona a Bogotá como la primera ciudad del país que reconoce e incentiva la institucionalización de la transversalización del enfoque de género para el cierre de brechas.",92,15,Secretaría Distrital De La Mujer,Mujeres
La Oferta de Cuidado a Cuidadoras,"Donde se estipula el desarrollo de una estrategia que valore y resignifique el trabajo de cuidado, implementando procesos de empoderamiento para cuidadoras y cuidadores, a través de servicios de reposo y recreación, y espacios de formación y homologación, incluyendo a las adultas mayores que ejercen el rol de cuidadoras, líderes comunitarias, cuidadoras de animales domésticos, mujeres rurales, LBT, indígenas, campesinas, negras, afrocolombianas, raizales, palenqueras y Rrom",93,15,Secretaría Distrital De La Mujer,Mujeres
La Estrategia Pedagógica y de Cambio Cultural,"Contribuir al reconocimiento y la redistribución del trabajo de cuidado no remunerado entre hombres y mujeres en los hogares de la ciudad de Bogotá. y específicos de transformar las creencias, disposiciones, emociones, conocimientos, habilidades y comportamientos individuales asociadas al cuidado, al autocuidado y al género que dificultan el reconocimiento y la redistribución del trabajo de cuidado directo e indirecto.",94,15,Secretaría Distrital De La Mujer,Mujeres
"Bases del Sistema Distrital de Cuidado “Hacia la construcción de un nuevo contrato social y sexual""","Desarrolla los fundamentos técnicos, las definiciones conceptuales, los componentes y los servicios del sistema Distrital de Cuidado de Bogotá. Se basan en una extensa revisión de la literatura, de las normas, precedentes y jurisprudencia tanto internacional como nacional y Distrital, y en las evidencias sobre cuidado, incluida una revisión comparada de distintos sistemas y políticas de varios países del mundo.",95,15,Secretaría Distrital De La Mujer,Mujeres
Micrositio programas FITIC,"La SDDE administra el Fondo FITIC, desde el cual se gestionan ejercicios de Innovación abierta dirigidos al fortalecimiento de las empresas del Ecosistema de innovación y Productividad de Bogotá Región.  Desde la página Institucional, se cuenta con un micrositio donde se pueden consultar los programas desarrollados desde el FITIC, a cargo de la Dirección de Competitividad Bogotá Región Subdirección de Innovación y Productividad.",96,16,Secretaría Distrital De Desarrollo Económico,"Desarrollo Económico, Industria y Turismo"
Regis Landis,"Formulación estrategia “Regis Landis” para Fortalecer la gestión del conocimiento y salvaguardar el Know How de los procesos y proyectos institucionales. Esta iniciativa ganó el primer lugar la categoría ""innovación pública"" de la VII gala de reconocimiento al servicio público.",97,16,Secretaría Distrital De Desarrollo Económico,"Desarrollo Económico, Industria y Turismo"
Elaboración de mezclas asfálticas con inclusión de plásticos post consumo,"Empleando principios de economía circular se aprovecha los plásticos post-consumo, para la elaboración de mezclas asfálticas que se usaran en las actividades de conservación de la infraestructura vial.",98,17,Unidad Administrativa Especial De Rehabilitación Y Mantenimiento Vial,Movilidad
Sustituir el uso de asfalto convencional por bioasflatos en la producción de mezclas asfálticas.,"Empleando principios de economía circular se aprovecha el material bituminosos reciclado, para actividades de conservación de la infraestructura vial.",99,17,Unidad Administrativa Especial De Rehabilitación Y Mantenimiento Vial,Movilidad
Validación de un sistema de mapeo movil de bajo costo y alto rendimiento,Se construiran equipos de mapeo movil de bajo costo y alto rendimiento para el diagnostico de la malla vial.,100,17,Unidad Administrativa Especial De Rehabilitación Y Mantenimiento Vial,Movilidad
Elaboración de mezclas asfálticas tibias.,"Con el fin de mitigar el impacto producido al medio ambiente por la producción de mezclas asfálticas y envejecimiento prematuro de las mezclas asfálticas, se plante adoptar la tecnologia de producción de mezclas asfálticas tibias.",101,17,Unidad Administrativa Especial De Rehabilitación Y Mantenimiento Vial,Movilidad
Consolidación de Sistema de Gestión de Infraestructura Vial,Consolidar un Sistema de Gestión de Infraestructura vial en la Unidad Administrativa Especial de Rehabilitación y Mantenimiento Vial – UAERMV,102,17,Unidad Administrativa Especial De Rehabilitación Y Mantenimiento Vial,Movilidad
Elaboración de mezclas asfálticas con alto contenido de RAP o MBR.,"Empleando principios de economía circular se aprovecha el material bituminosos reciclado, para actividades de conservación de la infraestructura vial.",103,17,Unidad Administrativa Especial De Rehabilitación Y Mantenimiento Vial,Movilidad
Estudio de Impacto del proyecto de formación musical de la OFB,"Durante los años 2021 y 2022 la Oficina Asesora de Planeación y Tecnología y la Dirección de Formación Musical y Fomento de la Orquesta Filarmónica de Bogotá, diseñó y aplicó un estudio experimental, cuantitativo, probabilístico y aleatorio para medir el impacto de la formación musical en las habilidades cognitivas y prosociales en niños, niñas y adolescentes que hacen parte del Proyecto de Formación Musical de la OFB en los centros filarmónicos escolares.",104,18,Orquesta Filarmónica De Bogotá,"Cultura, Recreación y Deporte"
Observatorio Fiscal,"Es una herramienta de análisis, divulgación y gestión de la información fiscal de Bogotá, cuyo objetivo es promover el debate sobre la misma, fomentar la elaboración de estudios en materia fiscal y apoyar el diseño y formulación de política pública, a partir de la recopilación de datos, indicadores y publicaciones de análisis estratégicos. Todo esto orientado a contribuir con la transparencia de la gestión pública, manteniendo a la ciudadanía informada sobre las finanzas públicas",105,19,Secretaria Distrital De Hacienda,Hacienda
Ferias Virtuales de Servicio,"En 2021, se realizaron campañas de apoyo a los procesos de orientación tributaria para el cumplimiento de las obligaciones de los contribuyentes a través de ferias virtuales por medio de videollamadas. Desde 2022 se comenzó a prestarse el servicio por este medio, orientando a la ciudadanía para la gestión de distintos trámites.  El servicio se amplió para gestión de trámites de Registro de Identificación Tributaria - RIT y se implemento el lenguaje de señas",106,19,Secretaria Distrital De Hacienda,Hacienda
WhatsApp para el Registro de Identificación Tributaria - RIT y otros impuestos,"En 2021 la Secretaría de Hacienda identificó la oportunidad de fortalecer el canal virtual; por lo cual fortaleció la prestación del servicio a través de las líneas de WhatsApp para trámites asociados a Registro de Identificación Tributaria- RIT, para los impuestos predial, vehículos y oficina virtual. Dada la acogida de la ciudadanía se continuó el servicio y se dispuso el vínculo directo en los distintos medios de información (ej. página web, guía de trámites y servicios)",107,19,Secretaria Distrital De Hacienda,Hacienda
Cultura de Cero Papel - Radicación Calificada,"Es el proceso de verificación de los requisitos asociados a los tramites tributarios, con el propósito de asegurar la consistencia de las solicitudes y la eficacia de las respuestas, junto con la potencial respuesta inmediata orientada a evitar la radicación física y/o digital de las siguientes solicitudes (hasta ahora en acuerdo de servicio): RIT, Devoluciones y/o Compensaciones, Solicitud de facturas de impuesto predial y Solicitud de facturas de impuesto de vehículos automotores.",108,19,Secretaria Distrital De Hacienda,Hacienda
1. mejora en orfeo,mejorar la funcionalidad de orfeo,109,20,Instituto Distrital De Recreación Y Deporte,"Cultura, Recreación y Deporte"
manzanas de cuidado,Modelo de integración institucional creado para aliviar y redistribuir las cargas que han entregado históricamente en gran proporción las mujeres al cuidado de sus hogares como personas con discapacidad o servicio doméstico.,110,20,Instituto Distrital De Recreación Y Deporte,"Cultura, Recreación y Deporte"
carbono neutro parque simon bolivar,Lograr la certificación en Carbono Neutralidad,111,20,Instituto Distrital De Recreación Y Deporte,"Cultura, Recreación y Deporte"
"estudio de productividad y competitividad sector deporte, la recreación y la actividad física","Identificar, caracterizar y medir el sector del deporte, recreación y actividad física, su economía y estrategias de innovación en convenio con el DANE para la  Cuenta Satélite del Deporte de Bogotá,  Como resultado  se entregó un avance del 90% documento metodológico para la caracterización y medición del sector del deporte, recreación y actividad física",112,20,Instituto Distrital De Recreación Y Deporte,"Cultura, Recreación y Deporte"
INTELIGENCIA ARTIFICIAL,"Diseñar la APP de la Entidad para que los afiliados puedan tener acceso a información mucho más rápido y tramites como certificados, citas médicas, autorizaciones.",113,21,Capital Salud,Salud
Rediseño Institucional con la creación de la Oficina de Laboratorio de Ciudad,"Rediseño institucional con la creación de la Oficina de Laboratorio de Ciudad, estructuración del manual de funciones, eliminación  de disciplinas académicas e inclusión de Núcleos básicos de conocimiento y elaboración de fichas por perfiles. La propuesta fue difundida al interior de la entidad  y se abrió un canal de comunicación a través de un correo electrónico para recibir observaciones.",114,22,Secretaría Distrital De Planeación,Planeación
Modelo híbrido de atención especializada,"Servicio de atención especializadas a través de modelo híbrido para agendamiento de citas virtuales o presenciales con las áreas técnicas de la entidad que proporcionan información. La solicitud de citas se realiza en el formulario web de la página de la Secretaría Distrital de Planeación en enlaces de interés. En el formulario, la persona escoge entre cita virtual o presencial. Las citas virtuales se realizan en meet y las citas presenciales se realizan en el segundo piso de Supercade CAD.",115,22,Secretaría Distrital De Planeación,Planeación
Nueva funcionalidad en la intranet denominada Consulta tu Inventario,"Se originó por la necesidad de contar con una herramienta sistematizada que permitiera al servidor consultar en cualquier momento sus bienes a cargo y realizar su propia toma física de bienes en línea, garantizando la disponibilidad, integridad y confiablidad de la información. Esta innovación fomenta la cultura de autocontrol y genera ahorro para la entidad en papelería, personal y tiempo.",116,22,Secretaría Distrital De Planeación,Planeación
Visor de población,"El ‘Visor de Población’ permite consultar, de forma interactiva, información de la dinámica de crecimiento de la población a nivel de Bogotá desagregada por cabecera municipal, centros poblados y suelo rural disperso, localidad, 112 polígonos calculados con base en las Unidades de Planeamiento Zonal (UPZ), entre otros niveles geográficos.",117,22,Secretaría Distrital De Planeación,Planeación
Rediseño de la encuesta multipropósito,"El proyecto trabajado por la Dirección de Estudios Macro (actualmente Dirección de Información y Estadísticas) consiste en el desarrollo de estrategias de acompañamiento, retroalimentación y complementación de la labor realizada por el DANE en la ejecución del Convenio Encuesta Multipropósito, para lograr un producto con alta calidad técnica, al tiempo que se mejora la apropiación de este instrumento desde el interior de la SDP y se complementa con acciones que buscan ampliar el impacto de éste.",118,22,Secretaría Distrital De Planeación,Planeación
Diseño de simulador para modelar la ocupación de la ciudad,"Permite analizar los cambios de las políticas de transporte y de uso del suelo en la ocupación del territorio. Tener una estructura de software del proyecto a disposición de los analistas y/o usuarios para realizar simulaciones a través de una plataforma interactiva, permite realizar análisis claros y fundamentales para la Planeación de la ciudad.",119,22,Secretaría Distrital De Planeación,Planeación
Innovación en espacios diálogo en rendición de cuentas.,"Desde la estrategia de rendición de cuentas de la Secretaría Distrital de Planeación, SDP Cuentas Claras, se idearon espacios de diálogo para informar y explicar avances y resultados de gestión, utilizando maneras atractivas para comunicar y entregar la información de forma interesante, corta, entendible y concisa. Es así como a través de videos, programas radiales y formatos de presentación como lienzos de gestión , en donde se promovió la Innovación institucional para la rendición de cuentas.",120,22,Secretaría Distrital De Planeación,Planeación
Estrategia de participación,"Proceso de Cocreación en la ruta de participación para la formulación de las Unidades Planeamiento Local para la formulación del POT, tiene un alcance de cocreación y busca la vinculación de los ciudadanos con el territorio y la generación de acuerdos, pasando de una participación tradicional a una decisiva.",121,22,Secretaría Distrital De Planeación,Planeación
Visor Ciudadano de Participación – SDP,"El Visor Ciudadano de Participación - SDP, es una herramienta de gobernabilidad que permite conocer los resultados de los procesos adelantados en diferentes escenarios desarrollados por la SDP con instancias públicas y privadas durante la vigencia de la actual administración, con el propósito de que las y los visitantes tengan la oportunidad de conocer, dialogar, construir y socializar los diferentes procesos estratégicos desarrollados para la formulación de políticas públicas.",122,22,Secretaría Distrital De Planeación,Planeación
“Historias y Memorias: Tú historia es mi historia.”,"Está conformado por las estrategias “Memorias e Historias” y “Conversando con el autor”. Este proyecto está fundamentado en la Atención Primaria en Salud (APS) y en el enfoque de determinantes sociales y ambientales, con perspectiva poblacional diferencial, de cultura ciudadana, de género, participativo, territorial y resolutivo, que impacten positivamente el estado de salud de la población.",123,23,Secretaría Distrital De Salud,Salud
Semillero de innovación,"El semillero de innovación es un espacio que se desarrolla de forma periódica en torno a temas de innovación, en él participan invitados, funcionarios y contratistas de la entidad. Se busca que en este espacio se trabaje bajo metodologías divertidas, ágiles, creativas y que fomenten el desarrollo de capacidades innovadoras.",124,23,Secretaría Distrital De Salud,Salud
Comité de ética de la investigación de la Secretaría Distrital de Salud,"Es un grupo formal deliberativo, multidisciplinario, plural, autónomo e independiente, con carácter asesor, resolutivo, de vigilancia y pedagogía del más alto nivel de decisión, que cumple funciones desde el punto de vista técnico científico y ético, otorgando el concepto ético correspondiente a los proyectos de investigación presentados en materia de ciencia, tecnología e innovación para la salud"" (Resolución 1317 de 2022, p. 4).",125,23,Secretaría Distrital De Salud,Salud
Implementación de módulo MIPG en SMART,"Se desarrollo el módulo del Modelo Integrado de Planeación y Gestión en el aplicativo SMART del Sistema Integrado de Gestión, permitiendo así un seguimiento detallado de las actividades para las vigencias.",126,24,Secretaría Jurídica Distrital,Gestión Juridíca
"CERTIFICADO DE INSPECCIÓN, VIGILANCIA Y CONTROL EN LINEA","La Secretaría Jurídica de la Alcaldía Mayor de Bogotá, ha implementado nueva tecnología en beneficio de la prestación efectiva de sus servicios para facilitar que los ciudadanos puedan obtener de manera virtual el Certificado de Inspección, Vigilancia y Control de la Entidades Sin Ánimo de Lucro domiciliadas en Bogotá D.C",127,24,Secretaría Jurídica Distrital,Gestión Juridíca
CARGUE DE INFORMACIÓN JURÍDICA - CONTABLE Y FINANCIERA DE LAS ESAL,"Se creó el formulario electrónico que permite el cargue de información Jurídica, Contable y Financiera de las Entidades Sin Ánimo de Lucro ESAL, la finalidad principal es contar con la completitud de la información reportada periódicamente por las ESAL, a su vez tener un registro detallado y clasificado por tipo de documento que facilite la administración y control de las mismas.

",128,24,Secretaría Jurídica Distrital,Gestión Juridíca
LEGALBOG Participa y legalbog app,Se creo el módulo de participación de proyectos de actos administrativos promoviendo así la participación de grupos de interés y valor del distrito. ,129,24,Secretaría Jurídica Distrital,Gestión Juridíca
Miengativapp,"Es un aplicativo para gestión de conocimeinto en diferentes areas de la entidad, ha generado mejoras en tiempos y consolidación de información",130,25,Alcaldía Local De Engativa,Sector descentralizado territorialmente
Miengatimap,Sistema de información geográfica.,131,25,Alcaldía Local De Engativa,Sector descentralizado territorialmente
Mapas de empatía,Metodologái para el diagnóstico de necesidades con la ciudadanía en temas específicos.,132,25,Alcaldía Local De Engativa,Sector descentralizado territorialmente
METODOLOGÍA TRANSFORMA,"Herramientas de innovación para promover el uso, goce y disfrute del espacio público.",133,26,Departamento Administrativo De La Defensoría Del Espacio Público - Dadep,Gobierno
Ruta de innovación,"Con las ideas conceptualizadas de los 5 grupos de trabajo, se  realizaron  prototipos con el uso de las herramientas Momentos de Verdad y Storyboard.",134,27,Empresa De Renovación Urbana Y Desarrollo Urbano De Bogotá - Eru,Hábitat
Sistema de información misional,"Adquisición de una herramienta tecnológica que permita automatizar algunos procesos misionales, así como la generación de reportes y el análisis de datos construido en plataforma Oracle Primavera Unfier.",135,27,Empresa De Renovación Urbana Y Desarrollo Urbano De Bogotá - Eru,Hábitat
Laboratorio de ciudad y cultura ciudadana,"Aunar esfuerzos humanos, técnicos, administrativos
y financieros para desarrollar el laboratorio de ciudad y cultura
ciudadana para promover la participación cualificada en las dinámicas de
desarrollo urbano de la ciudad y sus interrelaciones con la movilidad y
la sostenibilidad, mediante un proceso de ciencia ciudadana",136,28,Instituto De Desarrollo Urbano,Movilidad
SIIPVIALES -Sistema de infraestructura vial y espacio público,"Fortalecimiento de la recopilación y analitica de información técnica a través del desarrollo de aplicativos de recolección y presentación de información disponibles en el portal SIIVIALES. incluye:
1.Boletines técnicos
2. Tableros de control
3. Estadísticas de inventario, extensión y estado infraestructura
4. Especificaciones técnicas",137,28,Instituto De Desarrollo Urbano,Movilidad
Caja de herramientas de sostenibilidad e innovación ambiental,"En el marco de los ODS, Estrategia E2050 y el Decreto 555 de 2021, el IDU desarrolló una caja de herramientas que busca establecer lineamientos para el diseño sostenible y de innovación ambiental en el espacio público y en los elementos que lo integran, permitiendo aumentar la resiliencia climática de nuestra ciudad en el largo plazo, generando soluciones sobre el uso de nuevos materiales (permeables, ecológicos y/o susceptibles de aprovechamiento)  y prácticas constructivas sostenibles.",138,28,Instituto De Desarrollo Urbano,Movilidad
Fulvia-ChatBot IDU,"La innovación diseñada es un mecanismo de comunicación virtual que ayude brindando a la ciudadanía información las 24 horas del día durante los 7 días de la semana sobre trámites y servicios, atención de solicitudes y respuestas a preguntas frecuentes que aprende de la interacción con los ciudadanos a través de los principios de machine learning y permite el agendamiento de turnos para la atención presencial de forma virtual.",139,28,Instituto De Desarrollo Urbano,Movilidad
Building Information Modeling (BIM),"Es la evolución del método de trabajo digital en la industria de la construcción, BIM agrega valor al ciclo de vida de los proyectos porque las personas, los procesos y el software trabajan juntos, de manera que un proyecto gana calidad, reduce costos, tiempos y garantiza la finalización oportuna de las obras , es así que se anticipan problemas a través de las simulaciones constructivas en modelos permitiendo la toma de decisiones en etapas tempranas del ciclo de vida.",140,28,Instituto De Desarrollo Urbano,Movilidad
Prototipo de cribado y/o separación de lodos,"Construcción de prototipo de cribado y/o separación de lodos provenientes de las actividades de mantenimiento del sistema de alcantarillado, extraídos por los equipos de succión-presión de la EAAB-ESP",141,29,Empresa De Acueducto Y Alcantarillado De Bogotá E.S.P,Hábitat
Plataforma Flora de Bogotá,"La plataforma de Flora de Bogotá aporta al inventario de la flora de la ciudad, está dirigida al público en general, académicos y tomadores de decisiones para el manejo, planificación, recuperación y conservación de los ecosistemas de la ciudad y fue lanzada el 14 de julio de 2021.",142,30,Jardín Botánico José Celestino Mutis,Ambiente
Reto aves cuidadoras,"Para la VII versión de la Gala de reconocimiento, el Jardín Botánico de Bogotá participó con el reto Aves cuidadoras liderado por la Secretaría de Cultura en alianza con el Servicio Civil Distrital, en el que inscribimos la estrategia en articulación con recicladores y personas en condición de habitabilidad en calle para el cuidado de las huertas del centro, en la localidad de Mártires; el equipo del Jardín se inscribió con el nombre Cuidando y volando.",143,30,Jardín Botánico José Celestino Mutis,Ambiente
Vacaciones Científicas,"Las vacaciones científicas, hacen parte del programa de educación ambiental del Jardín Botánico de Bogotá, en el cual se genera un espacio divertido de aprendizaje activo de las ciencias en un ambiente natural, promoviendo el desarrollo de habilidades y actitudes científicas orientadas al conocimiento, valoración y cuidado de los recursos naturales y la biodiversidad.",144,30,Jardín Botánico José Celestino Mutis,Ambiente
Club De Ciencias,"Es un programa educativo dirigido a niños y niñas entre 5 y 12 años, el cual promueve la exploración e indagación del entorno natural, el desarrollo de habilidades científicas y sociales, la familiarización con el lenguaje científico y los cambios conceptuales para favorecer la conservación de la biodiversidad.",145,30,Jardín Botánico José Celestino Mutis,Ambiente
Estrategia De Corresponsabilidad,Fortalecer los procesos de participación incidente desde la concertación social y la corresponsabilidad ambiental en los territorios y localidades de la ciudad,146,30,Jardín Botánico José Celestino Mutis,Ambiente
Estrategia Pedagógica Del Tropicario,Es una estrategia que permite el acompañamiento de un educador ambiental que orientara la experiencia de recorrido por diferentes lugares de Colombia al interior del tropicario.,147,30,Jardín Botánico José Celestino Mutis,Ambiente
Programa De Naturaleza Salud Y Cultura,"Naturaleza, Salud y Cultura” es un programa en construcción del Jardín Botánico de Bogotá. Se implementa en tres fases, la primera que acaba de desarrollarse, implicó la elaboración de los objetivos, la metodología y la puesta en práctica de actividades individuales y grupales, desde la investigación permanente, para conocer las problemáticas que enfrentan las poblaciones a nivel de salud física y ambiental, y desde allí tejió la interacción con diferentes grupos sociales.",148,30,Jardín Botánico José Celestino Mutis,Ambiente
Diplomado Dinamizadores De Terapias De Naturaleza,"Formar dinamizadores de Terapias de Naturaleza, que puedan diseñar y ofrecer estrategias de reconexión de las personas con el mundo natural, convirtiéndose en multiplicadores de una propuesta que promueve la ética del cuidado de sí mismos, los demás y del ambiente.",149,30,Jardín Botánico José Celestino Mutis,Ambiente
Árbolapp Bogotá,"El Jardín Botánico de Bogotá en búsqueda facilitar el acceso a la información relacionada con las coberturas vegetales ha creado nuevas estrategias como la aplicación móvil Arbolapp Bogotá, cuyo objetivo es ofrecer un instrumento para que la ciudadanía tenga en tiempo real, datos cuantitativos y cualitativos relacionados con el arbolado urbano.",150,30,Jardín Botánico José Celestino Mutis,Ambiente
Bogotá es mi Huerta,Es la primera plataforma virtual de co-creción de agricultores urbanos agroecológicos del país.,151,30,Jardín Botánico José Celestino Mutis,Ambiente
SIGAU,"El SIGAU permite el registro y actualización de todas las actividades operativas y de mantenimiento (plantación, tala, mantenimiento y manejo fitosanitario) por parte de las entidades competentes (Jardín Botánico José Celestino Mutis.",152,30,Jardín Botánico José Celestino Mutis,Ambiente
Plataforma Valoración virtual TNP JBB,"Atendiendo las necesidades surgidas por la Directiva 001 que orientaba a la consulta en Banco de Hojas de vida Talento no palanca del Distrito, la Entidad había implementado un proceso de valoración de competencias básicas y aspectos de habilidades sociales y de personalidad que fortalecen el proceso",153,30,Jardín Botánico José Celestino Mutis,Ambiente
Software MIPG,El sofware busca brindar una herramienta orientada a definir las actividades de autodiagnóstico y el plan de cierre de brechas de la entidad en el Marco del Modelo Integrado de Planeación y Gestión.,154,30,Jardín Botánico José Celestino Mutis,Ambiente
Gestión Electrónica de Archivos GEA,"Jonas SGDEA (Software de Gestion Documental) - JonasSGD o GEA (Gestión Electrónica de Archivo) es un aplicativo desarrollado bajo arquitectura cliente-servidor que permite acceder mediante cualquier navegador de internet a la información que se ingrese de su empresa o entidad ya sea por la ventanilla de correspondencia, documentos que se generan desde el aplicativo como salidas e internas, o las que se ingresan al inventario documental.",155,30,Jardín Botánico José Celestino Mutis,Ambiente
Arborimetro,Conteo de los árboles que se han plantado durante la ejecución del plan de desarrollo distrital vigente,156,30,Jardín Botánico José Celestino Mutis,Ambiente
Revista Pérez Arbelaezia,"Plataforma de la revista científica Pérez-Arbelaezia, publicación científica de acceso abierto del Jardín Botánico de Bogotá, en la cual están disponibles las ediciones 
publicadas desde 1985, así como ediciones recientes con investigaciones en ecosistemas altoandinos y de páramo.",157,30,Jardín Botánico José Celestino Mutis,Ambiente
Red de Interacciones Bióticas,"Documenta de manera gráfica, las interacciones que se presentan entre los distintos organismos, tanto animales como vegetales, presentes en los ecosistemas del Distrito, haciendo énfasis en el área urbana, donde el ser humano tiene gran influencia sobre estas interacciones.",158,30,Jardín Botánico José Celestino Mutis,Ambiente
Plataforma de Nombres Comunes,"Nombres comunes de Bogotá Enriquece la información de las plantas presentes en el Distrito, incorporando los saberes locales y utilizando el nombre común como vínculo entre el conocimiento científico y el que posee la ciudadanía sobre las plantas que crecen a su alrededor",159,30,Jardín Botánico José Celestino Mutis,Ambiente
DELIVERY UNIT,"El Sistema de Información Delivery Unit es una herramienta informática qué, a través de la Web, permite realizar de una manera sencilla, el registro de avances en el cumplimiento de los compromisos asignados en los diferentes espacios de seguimiento tales como: comité directivo, reuniones del despacho, recorridos y espacios de articulación",160,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
Matriz de Clasificación Temática PQRS,"Se desarrolló una base de datos donde se incluyeron variables relacionadas con la presunta existencia de organizaciones y mercados criminales en la ciudad, para clasificar la información que pudiese resultar relevante para el equipo de direccionamiento estructural y de control a mercados criminales a manera de insumo. Brindan información muy precisa en términos de direcciones, forma como presuntamente se configura la actividad delictiva y en algunos casos datos de identificación de los implicado",161,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
Sistema LGTBI,"Diseño e implementación de un Sistema de información donde se identifican casos de crímenes y violencias contra personas de los sectores LGBTI, que permiten la toma de decisiones en materia de seguridad y convivencia en articulación con la Dirección de Diversidad Sexual de la SDP.",162,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
Modelos de Analítica Predictiva,"Desarrollo de modelos de analítica predictiva, los cuales servirán como insumo para la generación de políticas y estrategias en materia de seguridad (Proyecto financiado por el Sistema general de Regalías – Convenio de Cooperación 938 de 2019 con la Universidad Nacional y Quantil S.A.S.)",163,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
Caja de Herramientas,Repositorio de Literatura sobre políticas de seguridad implementadas a nivel global y local y sus evaluaciones de impacto en la disminución del fenómeno delictivo.,164,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
Tablero de Delitos Alto Impacto,Se realizó un nuevo diseño del tablero de Estadísticas de los principales delitos que se presentan en la ciudad.,165,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
tablero de Atenciones en Casas de Justicia,"Tablero de Atenciones en Casas de Justicia - Componente NO Presencial. Se agrego un nuevo tablero de estadísticas de las atenciones a la población en temas de justicia, por medios NO presenciales.",166,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
Tablero estadísticas de Casa Libertad,Se presentan las cifras de atención a personas post_penadas a través del programa Casa Libertad de la SCJ.,167,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
Inclusión del Modelo de Responsabilidad Penal Adolescente,Inclusión del Modelo de Responsabilidad Penal Adolescente que permite analizar variables relevantes en el marco del Sistema de Responsabilidad Penal Adolescente a partir de los datos registrados en el aplicativo SIRPA modulo PDO (Principio de Oportunidad).,168,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
Caso de uso - Hurto bicicletas,La OAIEE en conjunto con IDECA ha trabajado en el desarrollo del caso de uso de hurto de bicicletas 2018 - 2022 para el reconocimiento mediante algoritmos de identificación de agrupaciones estadísticamente significativas y caracterización del comportamiento delictivo en las zonas resultantes. El resultado permitirá la implementación del algoritmo en diferentes herramientas para otros delitos y hechos asociados a la seguridad.,169,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
Implementación de formularios,Implementación de formularios dirigidos a la captura de información de acciones territoriales en campo e integración en la base de datos geográfica de la entidad.,170,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
Matriz de covariados,"Construcción de la matriz de covariados con información georreferenciada en grilla de 100 metros, la cual contiene variables socioeconómicas y de infraestructura de Bogotá D.C., de gran utilidad para la caracterización de espacios en la ciudad",171,31,"Secretaría Distrital De Seguridad, Convivencia Y Justicia","Seguridad, Convivencia y Justicia"
Plan Unificado de Sistematización (PLUS),"Ofrece una ruta de acompañamiento logrando que las asistencias técnicas permitan un valor agregado que perdure para cada colegio distrital. Con el PLUS se sistematiza en forma oportuna y de calidad la información antes, durante y después de los procesos de acompañamiento pedagógico a todos los colegios, se permite analizar sus resultados y facilitar la toma de decisiones, para lo cual se cuenta con los recursos financieros, humanos y técnicos.",172,32,Secretaría De Educación Del Distrito,Educación
El Sistema de Alianzas y Cooperación Escolar – SACE,"El SACE es una estrategia innovadora que promueve la articulación entre el sector público, el sector privado y la cooperación internacional, para el trabajo conjunto por la educación en Bogotá, con el objetivo de optimizar las intervenciones, promover mecanismos de cooperación y priorización de iniciativas estratégicas, generar información que permita focalizar las decisiones y fortalecer la transparencia de los recursos invertidos en el sector educativo por los actores externos.",173,32,Secretaría De Educación Del Distrito,Educación
Programa Sector Educativo Privado Articulado (SEPA),"Genera un modelo de integración, relacionamiento y visibilización del sector educativo privado que contribuya a una gestión integral del sistema educativo de Bogotá en pro de garantizar una educación de calidad para todos los niños, niñas y jóvenes de la ciudad sin excepción. El objetivo principal es lograr una gestión integral del sistema educativo por medio de la integración de las comunidades educativas del sector educativo privado en la construcción y transformación de Bogotá.",174,32,Secretaría De Educación Del Distrito,Educación
